Time,MAHANG,NHOMHH,CHUNGLOAI,SL,REGION
2018-10,GBDRYA47145.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50886.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA50928.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA57950.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA58503.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA74262.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA75862.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA80549.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA82251.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA50332.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50791.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA58503.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA75862.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA80527.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA47081.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA91140.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA00524.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA47145.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA47184.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50332.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50791.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA50886.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA57950.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA59814.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA70631.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA04715.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50791.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA74954.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA75862.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA00196.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA70631.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA80527.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA80552.102,TSCZ,Bong,1,HCM
2018-10,GBDRCA75566.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA47063.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA47184.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50194.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50332.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA50791.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA50928.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA69534.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA72013.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA87965.100,TSCZ,Bong,1,HCM
2018-10,GBHRHA91286.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA00524.102,TSCZ,Bong,1,HCM
