TIME,CATEGORY,REGION,QTY,Bong,Dayco,Lac,Meday,Nhan,Vong
2019-11,TSECZ,HCM,"8,501",2082,324,347,1438,3950,360
2019-12,TSECZ,HCM,"9,226",2419,397,381,1558,4059,412
2020-01,TSECZ,HCM,10493,2899,527,370,1816,4394,487
2020-02,TSECZ,HCM,12788,3000,599,539,2072,6036,542
2020-03,TSECZ,HCM,6997,1756,341,299,1102,3203,296
2020-04,TSECZ,HCM,1935,518,75,89,290,895,68
2020-05,TSECZ,HCM,4736,1293,167,189,804,2108,175
2020-06,TSECZ,HCM,5347,1409,220,212,892,2409,205
2020-07,TSECZ,HCM,5030,1202,192,168,896,2423,149
2020-08,TSECZ,HCM,4620,1258,152,179,809,2069,153
2020-09,TSECZ,HCM,5881,1614,194,178,1092,2631,172
2020-10,TSECZ,HCM,10086,2763,389,441,1714,4452,327
2020-11,TSECZ,HCM,8771,2165,321,358,1442,4219,266
2020-12,TSECZ,HCM,8748,2142,409,391,1482,4032,292
2021-01,TSECZ,HCM,9585,2525,405,362,1813,4167,313
2021-02,TSECZ,HCM,12783,3422,456,469,2208,5893,335
2021-03,TSECZ,HCM,11764,3019,429,474,1859,5619,364
2021-04,TSECZ,HCM,7986,1921,292,310,1208,3963,292
2021-05,TSECZ,HCM,6517,1588,203,253,986,3290,197
2021-06,TSECZ,HCM,1918,453,60,79,335,935,56
2021-07,TSECZ,HCM,499,97,22,41,72,258,9
2021-08,TSECZ,HCM,111,33,12,8,15,41,2
2021-09,TSECZ,HCM,247,67,12,21,42,100,5
2021-10,TSECZ,HCM,9074,2319,269,414,1624,4187,261
2021-11,TSECZ,HCM,8479,2071,237,362,1377,4129,303
2021-12,TSECZ,HCM,11519,2750,337,462,2088,5456,426
2022-01,TSECZ,HCM,15131,3795,507,567,2688,6972,602
2022-02,TSECZ,HCM,14410,3169,485,819,2553,6966,418
2022-03,TSECZ,HCM,12242,2994,313,557,2141,5863,374
2022-04,TSECZ,HCM,11804,3031,339,449,2002,5555,428
2022-05,TSECZ,HCM,12056,3080,389,517,2016,5552,502
2022-06,TSECZ,HCM,11464,2764,335,631,1852,5488,394
2022-07,TSECZ,HCM,12219,3135,414,575,2043,5648,404
2022-08,TSECZ,HCM,11534,2784,384,585,1996,5429,356
2022-09,TSECZ,HCM,11436,2689,350,589,1918,5474,416
